Date : 2025-09-27 00:45:21
Directory : c:\OSPanel\OSPanel\domains\localhost\jsiseasy
Total : 102 files,  8047 codes, 396 comments, 1325 blanks, all 9768 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| PostCSS    |         11 |      4,456 |        239 |        776 |      5,471 |
| HTML       |         16 |      2,162 |         36 |        230 |      2,428 |
| XML        |         54 |        611 |          9 |         47 |        667 |
| JavaScript |         15 |        550 |         94 |        198 |        842 |
| JSON       |          1 |        152 |          0 |          2 |        154 |
| PHP        |          5 |        116 |         18 |         72 |        206 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                 |        102 |      8,047 |        396 |      1,325 |      9,768 |
| . (Files)                                                                                         |          9 |      1,523 |         36 |        138 |      1,697 |
| css                                                                                               |         11 |      4,456 |        239 |        776 |      5,471 |
| js                                                                                                |         16 |        702 |         94 |        200 |        996 |
| media                                                                                             |         54 |        611 |          9 |         47 |        667 |
| media\icons                                                                                       |         48 |        587 |          9 |         45 |        641 |
| media\icons (Files)                                                                               |          1 |         16 |          0 |          1 |         17 |
| media\icons\content                                                                               |         29 |        391 |          1 |         28 |        420 |
| media\icons\content (Files)                                                                       |         23 |        323 |          1 |         22 |        346 |
| media\icons\content\medals                                                                        |          6 |         68 |          0 |          6 |         74 |
| media\icons\cursors                                                                               |          3 |         78 |          3 |          3 |         84 |
| media\icons\navigation                                                                            |          9 |         39 |          0 |          7 |         46 |
| media\icons\social                                                                                |          6 |         63 |          5 |          6 |         74 |
| media\images                                                                                      |          6 |         24 |          0 |          2 |         26 |
| php                                                                                               |          5 |        116 |         18 |         72 |        206 |
| structure                                                                                         |          3 |         81 |          0 |          0 |         81 |
| testificates                                                                                      |          4 |        558 |          0 |         92 |        650 |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                          | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\OSPanel\OSPanel\domains\localhost\jsiseasy\account.html                                        | HTML       |        292 |          7 |         19 |        318 |
| c:\OSPanel\OSPanel\domains\localhost\jsiseasy\administrator.html                                  | HTML       |        239 |          0 |          9 |        248 |
| c:\OSPanel\OSPanel\domains\localhost\jsiseasy\authorization.html                                  | HTML       |         49 |          1 |          6 |         56 |
| c:\OSPanel\OSPanel\domains\localhost\jsiseasy\css\account.css                                     | PostCSS    |        868 |         32 |        138 |      1,038 |
| c:\OSPanel\OSPanel\domains\localhost\jsiseasy\css\administrator.css                               | PostCSS    |        399 |          9 |         54 |        462 |
| c:\OSPanel\OSPanel\domains\localhost\jsiseasy\css\authorization.css                               | PostCSS    |        263 |         17 |         55 |        335 |
| c:\OSPanel\OSPanel\domains\localhost\jsiseasy\css\common.css                                      | PostCSS    |        375 |         32 |         82 |        489 |
| c:\OSPanel\OSPanel\domains\localhost\jsiseasy\css\footer.css                                      | PostCSS    |        270 |          1 |         48 |        319 |
| c:\OSPanel\OSPanel\domains\localhost\jsiseasy\css\header.css                                      | PostCSS    |        291 |         15 |         55 |        361 |
| c:\OSPanel\OSPanel\domains\localhost\jsiseasy\css\in-development.css                              | PostCSS    |        109 |          1 |         20 |        130 |
| c:\OSPanel\OSPanel\domains\localhost\jsiseasy\css\information.css                                 | PostCSS    |        806 |         40 |        131 |        977 |
| c:\OSPanel\OSPanel\domains\localhost\jsiseasy\css\main.css                                        | PostCSS    |        624 |         72 |        116 |        812 |
| c:\OSPanel\OSPanel\domains\localhost\jsiseasy\css\news.css                                        | PostCSS    |        203 |          7 |         31 |        241 |
| c:\OSPanel\OSPanel\domains\localhost\jsiseasy\css\registration.css                                | PostCSS    |        248 |         13 |         46 |        307 |
| c:\OSPanel\OSPanel\domains\localhost\jsiseasy\in-development.html                                 | HTML       |         47 |          0 |          9 |         56 |
| c:\OSPanel\OSPanel\domains\localhost\jsiseasy\index.html                                          | HTML       |        165 |          0 |         11 |        176 |
| c:\OSPanel\OSPanel\domains\localhost\jsiseasy\information.html                                    | HTML       |        264 |          0 |         32 |        296 |
| c:\OSPanel\OSPanel\domains\localhost\jsiseasy\js\accountInfo.js                                   | JavaScript |         35 |          2 |         14 |         51 |
| c:\OSPanel\OSPanel\domains\localhost\jsiseasy\js\addOrder.js                                      | JavaScript |         50 |          0 |         22 |         72 |
| c:\OSPanel\OSPanel\domains\localhost\jsiseasy\js\allClientOrders.js                               | JavaScript |         47 |          0 |         23 |         70 |
| c:\OSPanel\OSPanel\domains\localhost\jsiseasy\js\authorization-check.js                           | JavaScript |         18 |         13 |         13 |         44 |
| c:\OSPanel\OSPanel\domains\localhost\jsiseasy\js\authorization.js                                 | JavaScript |         85 |         20 |         35 |        140 |
| c:\OSPanel\OSPanel\domains\localhost\jsiseasy\js\data.json                                        | JSON       |        152 |          0 |          2 |        154 |
| c:\OSPanel\OSPanel\domains\localhost\jsiseasy\js\modalwindow.js                                   | JavaScript |         47 |          6 |         13 |         66 |
| c:\OSPanel\OSPanel\domains\localhost\jsiseasy\js\passwordInput.js                                 | JavaScript |         27 |          0 |          7 |         34 |
| c:\OSPanel\OSPanel\domains\localhost\jsiseasy\js\passwordInputAuthorization.js                    | JavaScript |         15 |          0 |          6 |         21 |
| c:\OSPanel\OSPanel\domains\localhost\jsiseasy\js\passwordInputRegistration.js                     | JavaScript |         27 |          0 |          9 |         36 |
